22:13:53.074 [main] DEBUG c.b.config.BrowserStackConfig - Cli Config passed - {basedir=/Users/sayantan/Documents/Projects/testng-browserstack-master, style.color=always, user.dir=/Users/sayantan/Documents/Projects/testng-browserstack-master, localrepository=/Users/sayantan/.m2/repository}
22:13:53.075 [main] INFO  c.browserstack.utils.UtilityMethods - BrowserStack Yml Detected : /Users/sayantan/Documents/Projects/testng-browserstack-master/browserstack.yml
22:13:53.155 [main] INFO  c.b.config.BrowserStackConfig - Detected Framework testng
22:13:53.166 [main] INFO  c.b.config.BrowserStackConfig - Setting value of testObservability as specified in your browserstack.yml to true
22:13:53.507 [main] INFO  c.browserstack.BrowserStackJavaAgent - Framework set to testng
22:13:56.216 [main] INFO  c.browserstack.BrowserStackJavaAgent - Project and debug logs are captured by default. To disable, set disableAutoCaptureLogs: true in config.
22:13:56.860 [main] INFO  c.browserstack.BrowserStackJavaAgent - Starting BrowserStack Local......
22:14:02.717 [main] INFO  com.browserstack.LocalFactory - BrowserStack Local Started Successfully.
22:15:19.822 [Thread-0] INFO  c.browserstack.utils.LogReportingAPI - Visit https://observability.browserstack.com/builds/mswllzyb2yxr8isqfbedgls8lidtxdofddrfltxb to view build report, insights, and many more debugging information all at one place!

22:15:19.822 [Thread-0] INFO  c.b.config.BrowserStackConfig - INFO
22:15:28.421 [Thread-0] INFO  c.browserstack.utils.UtilityMethods - View build on BrowserStack dashboard: https://automate.browserstack.com/dashboard/v2/builds/305c000b28c993a062d3bb55800a56c0489d16b1
22:15:28.422 [Thread-0] INFO  c.b.config.BrowserStackConfig - INFO
22:19:44.708 [main] INFO  c.browserstack.BrowserStackJavaAgent - Selenium version detected - 4.17.0
22:19:44.712 [main] INFO  c.browserstack.BrowserStackJavaAgent - Appium version detected - 
22:19:45.084 [main] INFO  c.browserstack.utils.UtilityMethods - BrowserStack Yml Detected : /Users/sayantan/Documents/Projects/testng-browserstack-master/browserstack.yml
22:19:45.180 [main] INFO  c.b.config.BrowserStackConfig - Detected Framework testng
22:19:45.189 [main] INFO  c.b.config.BrowserStackConfig - Setting value of testObservability as specified in your browserstack.yml to true
22:19:45.777 [main] INFO  c.browserstack.BrowserStackJavaAgent - Framework set to testng
22:19:49.729 [main] INFO  c.browserstack.BrowserStackJavaAgent - Starting BrowserStack Local......
22:19:56.674 [main] INFO  com.browserstack.LocalFactory - BrowserStack Local Started Successfully.
22:20:24.245 [Thread-0] INFO  c.browserstack.utils.LogReportingAPI - Visit https://observability.browserstack.com/builds/yqunqgmuhsocimlvjjcyaf78owquanyiayvdqqzk to view build report, insights, and many more debugging information all at one place!

22:20:24.543 [Thread-0] INFO  c.browserstack.utils.UtilityMethods - View build on BrowserStack dashboard: https://automate.browserstack.com/dashboard/v2/builds/52830eac594c9dde492503c0ee9b8f8a13c8ea74
22:20:24.544 [Thread-0] INFO  c.b.config.BrowserStackConfig - INFO
22:20:27.493 [Thread-3] INFO  com.browserstack.LocalFactory - BrowserStack Local Stopped Successfully.
